id,old_state,milestone,old_owner,first_pass_class,built_branch,branch_tip,verdict,target_module_or_reason,t5_note,headline
D-620,integrated,M0,M0,unclear,land/worker/D-620,72d488e0,drop,old test battery comparator fix,test-only statedJSON change across bio-plane/test/*.test.mjs suites; not carried forward,"363 OF 376 bio-plane SUITES COMPARE WITH `JSON.stringify` EQUALITY, WHICH READS AN ABSENT VALUE IN AN ARRAY AS `null`, so any arm asserting a STATED null cannot tell it from a dropped key (measured in reviewcopy.control arm v, which stayed "
D-542,integrated,M0,M0,product,land/worker/D-542,fac514e0,drop,process gate instrument (DEC-49 reach guard),check-refusal-codes.mjs is tools/*.mjs gate machinery; not product,"THE DEC-49 GUARD SCORES A CODE ""OUT OF REACH"" WHEN ITS SURFACE RENDERS THE PLANE'S OWN WORDS: `check-refusal-codes.mjs` puts a code in reach only by R1 (a catalogue row), R2 (a code LITERAL in `app.html`) or R3 (a harness mock), so UI-68's "
D-574,integrated,M0,M0,product,land/worker/D-574,06494735,drop,process gate instrument (mint-site guard),widens a tools/*.mjs sweep (arm G); not product,"D-550's ONE-MINT-SITE GUARD (arm G) AND ITS SWEEP WALK ONLY `store.mjs` AND `index.mjs`, so multi-site codes in other plane files go unwatched: AI_RUN_BOUND_UNKNOWN (4 sites, airun.mjs), TEXT_ATTEST_EXTENT (4) and TEXT_ANCHOR_MISSING (4, te"
D-560,integrated,M0,DIST,machinery,land/worker/D-560,fc35dbf0,drop,old release tooling (tools/release-assemble.mjs),tools/*.mjs DIST process script; not product,"`tools/release-assemble.mjs` (~140) STILL NAMES THE ONE-BUNDLE COMMAND: its NO_ARTIFACT detail says ""Run `npm run build` in <dir>/"", and the assembler dies on the FIRST missing artifact, so a releaser fixes one bundle at a time. M0-188's si"
D-566,integrated,M0,M0,machinery,land/worker/D-566,25d51c4f,drop,old test fixture hand-kept module lists,gates.test.mjs/status.test.mjs are old test battery plus tools/*.mjs closures,"THREE MORE HAND-KEPT TOOL COPY LISTS SURVIVE M0-170: `bio-plane/test/gates.test.mjs` ~924 (`[""coord.mjs"", ""statepaths.mjs""]`) and `bio-plane/test/status.test.mjs` ~343 and ~565 (`[""walkfloor.mjs"", ""provenance.mjs"", ""walkfigure.mjs""]`, statu"
D-564,integrated,M0,RECORD,unclear,land/worker/D-564,ae807e25,drop,old test battery fixture-abort recorder,block() recorder added to bio-plane/test suites; not carried forward,"SEVEN MORE SUITES END AT THEIR FIRST FIXTURE FAILURE (""FIXTURE ABORTED"": dispose and exit), so one broken fixture hides every later section: casesearched, casesign, d150-statement-acknowledgement, d507-statement-ack-translation, rec212-stat"
DIST-15,queued,M7,DIST,unclear,,,carry,installer,queued state; no built_branch yet; installer must carry limits.subrequests from the signed release,"THE INSTALLER'S `limits.subrequests` IS PINNED TO `wrangler.jsonc`, NOT CARRIED FROM THE SIGNED RELEASE, and a release without it is not refused: the signed manifest has no plane-limits field. DIST-7's residue (DIST #6, 23:15Z): adding the "
D-734,integrated,M10,RECORD,product,land/worker/D-734,582928ee,carry,publication,built on land/worker/D-734 (582928ee): judge at extraction; op=verify/publishedbytes live in deliverer.mjs,"op=verify ANSWERS ""NOT PUBLISHED"" FOR A RATIFIED CASE DOCUMENT's doc_sha (measured on 6 ratified editions): only bundle parts and MANIFEST.json are in published_shas, and op=verify's own sentence equates ""not published"" with ""never ratified"
D-626,integrated,M10,RECORD,unclear,land/worker/D-626,2a5d4ed8,carry,publication,built on land/worker/D-626 (2a5d4ed8): judge at extraction; caseIdentitySentence/publish-draft sentences (uncertain vs review),"TWO PLANE SENTENCES STILL SAY A DRAFT THAT NAMES NO CASE IS A NEW CASE (D-538's class): C-87.6 REVIEW_NO_SUCH_CASE's translation ends ""Leave the name off and the draft is a new case."" (false since D-538: leaving it off lets publication DERI"
D-346,integrated,M2,COFF,both,land/worker/D-346,96eeb2d5,carry,odf-reader,built on land/worker/D-346 (96eeb2d5): judge at extraction; meta.xml/manifest reads in odf.mjs,"THE THREE OPENDOCUMENT ENTRIES EMIT NO `core-properties` AND NO `intra` LINK: `odf.mjs` never reads `meta.xml` or the manifest and says so with `outside_content_xml_not_read` markers, while Content Framework §16 says the formats ""preserve t"
REC-204,integrated,M2,RECORD,machinery,land/worker/REC-204,79be56b0,carry,content,built on land/worker/REC-204 (79be56b0): judge at extraction; new envelope extent kind (uncertain vs extraction/retrieval),"AN OFFICE DOCUMENT'S ENVELOPE IS EXTRACTED AND NEVER CONTENT: tracked-change authors, comments, core properties and speaker notes are emitted by the format parsers and never projected, indexed or searchable (`textUnitsFor`: *""SPEAKER NOTES "
D-375,integrated,M3,CAPTURE,both,land/worker/D-375,9a5df6e6,carry,ai-runs,built on land/worker/D-375 (9a5df6e6): judge at extraction; contentObservationsFor is defined in airun.mjs,"`OBSERVATION-LOG-DESIGN.md` §4.2's FOURTH OUTCOME HAS NO PRODUCER: the persisted reading carries no character count, so `contentObservationsFor` cannot write LOOKED_ABSENT for a scan read to nothing, and it reads PRESENT. `counts.chars` exi"
D-374,integrated,M4,CONTENT-PDF,unclear,land/worker/D-374,c7703c3d,carry,content,built on land/worker/D-374 (c7703c3d): judge at extraction; checkContentExtent MediaBox bound (uncertain vs pdf-reader),"A `pdf-page` EXTENT'S `rect` IS BOUNDED BY NOTHING: `checkContentExtent` asks only for four finite numbers, while `pagepixels.mjs` already computes each page's MediaBox and the plane never receives it. — owner CONTENT-PDF, CAPTURE, RECORD."
D-415,integrated,M4,COFF,machinery,land/worker/D-415,48245247,carry,office-readers,built on land/worker/D-415 (48245247): judge at extraction; defined names/table parts in formats-xlsx.mjs,A WORKBOOK'S `sheet-range` UNITS ARE WHOLE SHEETS ONLY: `formats-xlsx.mjs` turns `definedNames` into anchor links and emits one `usedSheetRange` per sheet; table parts and ODF named ranges are not read. — owner COFF.
D-419,integrated,M4,CONTENT-PDF,both,land/worker/D-419,914bb380,carry,content,built on land/worker/D-419: judge at extraction,"THE CROP OF A CITED PDF IMAGE EXISTS AND NOTHING CAN ASK FOR IT: `cropImage` lives only in `pdf-worker/src/imagecrop.mjs`, with no route and no plane op. — owner CONTENT-PDF, then RECORD; a UI item renders it."
D-625,integrated,M4,RECORD,unclear,land/worker/D-625,a42ba046,carry,connections,built on land/worker/D-625: judge at extraction,"AN UNPLACED OCCURRENCE OF A STRING READ AT SEVERAL PLACES CAN NEVER BE CHOSEN: the choose act reads an empty `occurrence=` as NONE NAMED (`String(args.occurrence).trim() || null`), so the empty key an unplaced read carries is unreachable, a"
D-629,integrated,M7,RECORD,product,land/worker/D-629,5e202b33,carry,record-core,built on land/worker/D-629: judge at extraction,"THE STORE ANSWERS ANY THROWN ERROR WITH ITS STACK: `Store.fetch`'s catch (store.mjs, the outermost handler) returns `String(e.stack)` to the caller for ANY throw on ANY op, and `index.mjs` has the same shape — so file paths, line numbers an"
REC-206,integrated,M2,CONTENT-PDF,unclear,land/worker/REC-206,17ed9704,carry,connections,built on land/worker/REC-206: judge at extraction,AN AGENDA ITEM'S MEMBERSHIP IN A FILE EXISTS ONLY AS RECT CO-LOCATION AN INSTRUMENT INFERS: tier-1 text units carry no position and a LinkRecord carries no anchor text. BOB #32's ruling of 2026-09-23 23:30Z (cite until folded): *DESIGN IT —
D-340,integrated,M4,CAPTURE,unclear,land/worker/D-340,fdf6c8c9,carry,capture,built on land/worker/D-340: judge at extraction,"CHROME IS A PROPERTY OF THE SITE AND THE PLANE RECORDS IT NOWHERE: `site_chrome` exists only in `LINK-FIDELITY.md`, which RATIFIES it as a derived table regenerable by scan; no table and no per-host navigation-change read are built. — owner"
D-177,integrated,M9,CAPTURE,product,land/worker/D-177,406ab5c1,carry,capture,built on land/worker/D-177: judge at extraction,"THE CAPTURE GRADE BELOW THE CEILING IS STILL AUTHORED: `store.mjs` says *""there is no per-document capture grade anywhere in this schema""*; `#legEarnedCapture` applies REC-88/105's CEILING, not a measured value, so a member-authored grade u"
D-194,integrated,M4,UI,both,land/worker/D-194,45437e4d,drop,UI surface only; plane lead ops already built,app.html lacks a lead call; leadread/leadlook/leadshare and leads table already built on main,"A MEMBER'S LEAD HAS A PLANE AND NO SURFACE: `op=lead`, `leadlook`, `leadread` and `leadshare`, the `leads` table and the internet frontier's read of them are built (`status.mjs` 10.lead), and `app.html` makes no lead call. — owner UI."
D-189,integrated,M8,UI,both,land/worker/D-189,4a9d1b21,drop,UI surface only; plane biasmanifest read already built,7.ui absent but op=biasmanifest computes the set; only app.html's UI text needs correcting,"NO SURFACE CAN SAY A PROJECT CARRIES ITS OWN BIAS: `op=biasmanifest` computes the effective set with project nullifications, `7.ui` is ABSENT, and `app.html` still says *""DECLARED BIAS is the HUNCH legs and nothing else""*. — owner UI."
D-664,integrated,M0,M0,both,land/worker/D-664,597afbb3,drop,old test-battery negative control not product,civicos-ui/test/refusal-codes.control.mjs stale arms; process/test-battery bookkeeping not product,"`civicos-ui/test/refusal-codes.control.mjs` IS STALE ON MAIN: on 5e8a65a8 arms (c), (e) and (r2) fail and (r5) THROWS on a moved anchor (store.mjs ~18517), so no arm after (r5) runs — the negative control for the refusal-code guard is not c"
REC-201,integrated,M10,RECORD,unclear,land/worker/REC-201,45ce0bc5,carry,actions,built on land/worker/REC-201: judge at extraction,"A RECORDS REQUEST CAN ONLY BE A CALIFORNIA ONE: the action kind is `cpra_request`, and sovereign groups sit outside California. BOB #32's ruling of 2026-09-23 23:08Z (cite until folded): *DESIGN DIRECTION ADOPTED — a law-neutral `records_re"
REC-202,integrated,M9,RECORD,product,land/worker/REC-202,1716321d,carry,inquiry,built on land/worker/REC-202: judge at extraction,"A MEMBER CANNOT TAKE UP OR SET ASIDE AT THE INQUIRY'S GRAIN: the code declares an `options_grain` gap (offered at document grain, missing at inquiry grain) in `store.mjs`'s findings producers, and no row carried it. BOB #32's ruling of 2026"
D-680,integrated,M10,RECORD,unclear,land/worker/D-680,0d17eb0e,carry,publication,built on land/worker/D-680: judge at extraction,"A DERIVATION DRAFT (no `caseId`, no `newCase`) IS REFUSED `PUBLISH_DRAFT_NOT_THIS_CASE` ON AN EXISTING CASE'S FURTHER EDITION: publishCase's is-publish-draft-this-case region passes it only when `predicted === 1`, refusing the very deferral"
D-633,integrated,M2,CONTENT-PDF,product,land/worker/D-633,cbc5ae9b,carry,text-chain,built on land/worker/D-633: judge at extraction,"WHEN TIER 2 WINS A PAGE, `mergeTier2Text` REPLACES ITS MARKERS, SO D-627's `image_content_unread` IS LOST AND THE PAGE ROUTES NOWHERE. Reproduced through op=acquire with an answering tier-2 stub (the held INFO-2026-0301 does not escalate, s"
D-670,integrated,M2,CONTENT-PDF,product,land/worker/D-670,9385caf7,carry,content,built on land/worker/D-670: judge at extraction,A `pdf-page` RECT CARRIES NO COORDINATE SPACE IN THE CONTENT GRAMMAR: OCR anchors are image pixels (the ocr member's §2) while content extents and image placements are default user space (IC-203); `#posFields` passes `space` through and `le
D-672,integrated,M4,RECORD,product,land/worker/D-672,f676a996,carry,retrieval,built on land/worker/D-672: judge at extraction,"A WORKBOOK'S SHEET-RANGE UNITS EXIST AND NOTHING INDEXES THEM: `textUnitsFor` (index.mjs) yields nothing for `sheets[]`, and the store says so (""nothing yet writes a workbook's sheet-range units into the index""); CONTENT-SEARCH-DESIGN §4.1'"
D-635,integrated,M2,CONTENT-PDF,unclear,land/worker/D-635,d31c52bf,carry,text-chain,built on land/worker/D-635: judge at extraction,"A PAGE ROUTED TO OCR WHOSE FOLIO DECODED LOSES ITS DERIVATION-PART PLACEMENT: BOB #35 RULED 06:25Z APPEND — the page keeps its layer text, the transcription is appended, and the page is listed in BOTH derivation parts, because D-252's guara"
D-665,integrated,M2,CONTENT-PDF,unclear,land/worker/D-665,e9392ac8,carry,text-chain,built on land/worker/D-665: judge at extraction,"A CHART OR TABLE PAINTED AS AN IMAGE UNDER A TEXT TITLE IS NEVER ROUTED TO OCR, AND NO SIGNAL YET SEPARATES IT FROM A PHOTO: BOB #35 RULED 06:25Z that the per-image `image_unread` marker states the truth without a classifier, and that ROUTI"
D-615,integrated,M7,RECORD,product,land/worker/D-615,8b3ab6ae,carry,promotion,built on land/worker/D-615: judge at extraction,"`op=promote` STILL PROJECTS `bundles.created` AND `last_updated` FROM THE ENVELOPE, though the document states both (CORE_FIELDS): D-563's class, the last two fields. Found by D-563's worker (05:47Z). — owner RECORD."
D-681,integrated,M4,RECORD,product,land/worker/D-681,ae80ca25,carry,observation-log,built on land/worker/D-681: judge at extraction,"NO LEAD OP LISTS A MEMBER'S LEADS: D-194's surface lists from op=frontier&level=internet, whose `looked` keeps the latest look per SUBJECT (the lead's words; `#frontierInternet`), so a lead whose words equal another readable lead looked at "
D-689,integrated,M10,RECORD,unclear,land/worker/D-689,4ef3d303,carry,actions,built on land/worker/D-689: judge at extraction,"A MACHINE CREDENTIAL CAN STATE A RECORDS REQUEST'S GOVERNING LAW: nothing fences `law` on a `records_request` (REC-201) or the creation of a `cpra_request` from an `ai` credential, though which law governs is the member's characterization ("
D-682,integrated,M4,RECORD,product,land/worker/D-682,1d635376,carry,observation-log,built on land/worker/D-682: judge at extraction,"NO LEAD OP PUBLISHES WHAT A LOOK'S STATE MEANS: D-194's surface mirrors OBSERVATION_STATES in app.html (LEAD_STATE_WORDS, guarded against airun.mjs), and `partial`'s plane sentence carries a maintainer's parenthetical that is not member tex"
D-675,integrated,M7,RECORD,product,land/worker/D-675,977da39d,carry,content,built on land/worker/D-675: judge at extraction,"op=content REFUSES THE PLANE'S OWN `store=` PARAMETER AS A PREDICATE: `op=content&id=<row>&store=bio` answers FIXED_KEY_ONLY rejected [""store""], so op=content cannot be called with store=scratch — which CLAUDE.md §5 requires on EVERY live-v"
UI-120,integrated,M4,UI,unclear,land/worker/UI-120,b6a94713,drop,UI-only render; plane crop op carried under D-419,no page calls the crop read; the plane op is D-419's carry,"NO SURFACE RENDERS A CITED IMAGE'S CROP: D-419 built the new content-crop read (the crop of a cited PDF image extent, through the pdf member's POST /crop) and no page asks for it. D-419's own row: *a UI item renders it*. — owner UI."
D-690,integrated,M0,UI,machinery,land/worker/D-690,eea7e8a5,drop,test-script stdout flush fix not product,check-refusal-codes.mjs flush import; gate/test machinery (M0) not product,"`civicos-ui/check-refusal-codes.mjs` ENDS IN A BARE `process.exit(1)` WITHOUT THE D-282 FLUSH IMPORT, and D-542 grows its output 38 KB -> 61 KB: measured on the D-542 union with a plant, 7 of 32 parallel runs lost the tail (zero ratchet lin"
D-684,integrated,M4,RECORD,product,land/worker/D-684,9f6112d3,carry,extraction,built on land/worker/D-684: judge at extraction; op=acquire reading a CSV as text through the format wire,"A text/csv CAPTURE THROUGH op=acquire IS READ AS PROFILE TEXT AND NEVER REACHES THE FORMAT WIRE: the `canRead` branch wins, so a CSV gets no text_units and `reading.text_container` null — its cells are unsearchable though the csv format ent"
UI-119,integrated,M10,UI,product,land/worker/UI-119,530a3559,drop,UI-only placeholder (ruling 4),plane already has the records_request law field and refusal; row only adds a UI control,"NO SURFACE LETS A MEMBER STATE A RECORDS REQUEST'S `law`: REC-201 added the `records_request` kind and its `law` field, and neither app.html's action intake nor setup.mjs's page offers it, so every request filed there reads law UNDETERMINED"
D-693,integrated,M9,RECORD,product,land/worker/D-693,c55e4419,carry,provenance,built on land/worker/D-693: judge at extraction; archive-capture grade C now folds a ruling,AN ARCHIVE-ONLY CAPTURE'S GRADE READS UNDETERMINED (CAPTURE_GRADE_VIA_UNRULED) THOUGH IT IS RULED: BOB #35 RULED 2026-09-25 07:55Z from doctrine on record (drained to `BOB-INBOX-drained.md` by SCHEDULER #23; cite until folded) — a capture w
D-686,integrated,M2,CONTENT-PDF,unclear,land/worker/D-686,526cc17f,carry,content,built on land/worker/D-686: judge at extraction; extended (not superseded) by D-710's mixed case,"EVERY UNIT OF A MIXED DOCUMENT READS `chain_kind` 'ocr': `content.chain_kind` is the WHOLE chain's last step, so a text-layer page of a document OCR also touched is labelled as OCR'd. Predates D-635. Found by D-635's worker. BOB #35 RULED 2"
D-674,integrated,M7,RECORD,product,land/worker/D-674,96a7802f,carry,record-core,built on land/worker/D-674: judge at extraction; readers order by write order not caller-set date,"`manifest.created` IS THE WRITER'S `meta.last_updated`, NOT THE PLANE'S CLOCK: D-546's suite landed an amendment dated BEFORE the move preceding it, so every reader ordering by REC-182's `created` (op=export's promotions, the gate facts) ca"
D-641,integrated,M7,RECORD,unclear,land/worker/D-641,93741fbf,drop,UI refusal-code translations; UI is worked on elsewhere (Bob ruling 4),"BOB #37 override: the canned translations live in the UI, not the plane","107 REFUSAL CODES A MEMBER CAN RECEIVE HAVE NO CANNED TRANSLATION: D-542's R5/R6 walk brought them into reach (reach 488->595) and they are the whole reachGap rise 39->146 — e.g. relationdeclare NO_ENDS / SELF_RELATION, queuemute NO_KINDS, "
D-668,integrated,M7,RECORD,product,land/worker/D-668,02848426,carry,extraction,BOB #37 override from legacy-checks: calibrationSubjectRegister's false codes; built on land/worker/D-668: judge at extraction,"FIVE REFUSAL CODES TELL A MEMBER SOMETHING FALSE AT ONE OF THEIR SITES (DEC-49's one-code-one-condition rule, D-484): `calibrationSubjectRegister` refuses REGISTERING a subject with CAL_NO_PROBE / CAL_UNNAMED (written for a calibration MEAS"
D-679,integrated,M7,RECORD,product,land/worker/D-679,8894350b,carry,control-plane,built on land/worker/D-679: judge at extraction; public doors answer store failure with a real status,"THREE PUBLIC OPS ANSWER A STORE FAILURE AT HTTP 200: index.mjs's op=invitelook, enroll and login read the store's answer as `json(await r.json(), 200)` and never read `ok`, so an anonymous caller is told success-status for a failure (since "
D-683,integrated,M10,RECORD,unclear,land/worker/D-683,80d1db46,carry,publication,built on land/worker/D-683: judge at extraction; acknowledgement count drops the edition filter for a no-case draft,"A READING OF A NO-CASE DRAFT IS NOT COUNTED UNDETERMINED ON A FURTHER EDITION PUBLISHED WITHOUT draft=: `#statementAcknowledgements`' unbound COUNT query asks `edition=?`, but such readings are recorded at edition 1 (D-568), so the count dr"
D-701,integrated,M7,RECORD,product,land/worker/D-701,414439d2,carry,connections,built on land/worker/D-701: judge at extraction; links/navchanges filter rows by viewer before counting (disclosure fix),"op=links AND D-340's navchanges DISCLOSE GATED CAPTURES: both name capture shas and page addresses to any member with no viewer stamp, so a member outside a gated bundle's project learns that the bundle exists and what it holds. BOB #35 RUL"
D-688,integrated,M10,RECORD,unclear,land/worker/D-688,ca653547,carry,progressions,BOB #37 override from legacy-checks: LIFECYCLE_TEXT_UNWRITABLE split (C-94.11); built on land/worker/D-688: judge at extraction,"`LIFECYCLE_TEXT_UNWRITABLE` (D-147, C-94.11) IS TWO CONDITIONS UNDER ONE CODE: C-94.11's sentence about exemptions and citation is FALSE for the token-field case (e.g. stage=Appeal), so a member is told something untrue. Found at batch29's "
D-673,integrated,M7,RECORD,unclear,land/worker/D-673,b8405ed4,carry,promotion,"BOB #37 override from legacy-checks: C-4.2 on a document's own state_history, ruled BOB #35 option (b); built on land/worker/D-673: judge at extraction","C-4.2 AND A DOCUMENT'S IN-BYTES `state_history`: an undeclared edge in a document's OWN bytes has no reading under D-546's fence. BOB #35 RULED 2026-09-25 08:00Z, option (b) (drained to `BOB-INBOX-drained.md` by SCHEDULER #23; cite until fo"
D-628,integrated,M7,RECORD,product,land/worker/D-628,db3b94a0,carry,promotion,built on land/worker/D-628: judge at extraction; op=promote refuses missing required fields instead of a raw stack,"`op=promote` STILL THROWS A RAW NOT NULL STACK WHEN `current_state` (document and envelope), `meta.created` OR `meta.last_updated` IS STATED NOWHERE — for creations and revisions, and for `meta` sent as a string. Found by D-578's worker (mi"
D-618,integrated,M10,RECORD,unclear,land/worker/D-618,dc4c41f9,carry,publication,built on land/worker/D-618: judge at extraction; edition reads null for a case+newCase ambiguous pair,"A DRAFT THAT NAMES A CASE AND ALSO SETS `newCase` STILL ANSWERS THAT CASE'S NEXT EDITION beside a sentence saying its case is UNDETERMINED (publication refuses the pair CASE_IDENTITY_AMBIGUOUS), so the answer states an edition for a case th"
UI-117,integrated,M10,UI,unclear,land/worker/UI-117,88d67095,drop,UI-only placeholder (ruling 4),form-only change surfacing an already-stored both-identity draft; no plane op is missing,"A DRAFT HOLDING BOTH `caseId` AND `newCase` IS NOT SURFACED ON THE REVIEW-COPY FORM: BOB #35 RULED 2026-09-25 06:45Z (drained to `BOB-INBOX-drained.md` by SCHEDULER #23; cite until folded) — SURFACE it, never refuse to load, never drop `new"
D-698,integrated,M9,RECORD,both,land/worker/D-698,c0f7a56f,carry,capture,BOB #37 override from legacy-checks: acquire's typed archive grade letter; built on land/worker/D-698: judge at extraction,"op=acquire STILL TYPES ITS ARCHIVE GRADE LETTER (index.mjs: `grade: via === ""archive.org"" ? ""C"" : EARNED_CAPTURE_CEILING`) — a second copy of a RULED value (D-693's ARCHIVE_CAPTURE_GRADE), pinned equal only by suite 9d; and acquire.test.mjs"
UI-118,integrated,M10,UI,product,land/worker/UI-118,14d8ae9e,drop,UI-only placeholder (ruling 4),exports a field the plane already serves (last_change.undetermined_within); no plane change,"THE EXPORTED REVIEW COPY OMITS THE DATE TIE: when op=reviewcopy's `last_change.undetermined_within` is non-empty, UI-69's exported page carries `inband` but not `last_change`, so its Date line states a single last change the record cannot s"
UI-121,integrated,M10,UI,unclear,land/worker/UI-121,6ceb9b9b,drop,UI-only placeholder (ruling 4),held on D-712; row itself only adds draft= control and renders draft_case; no plane op,"NO SURFACE SENDS `draft=` OR SHOWS `draft_case`: D-680 made the signed block state how its case was bound (derived_at_publication, named_and_confirmed, new_case_asked_at_publication, named_by_draft, new_case_asked_by_draft) and refuses a na"
D-667,integrated,M0,M0,machinery,land/worker/D-667,d26851e7,drop,old test battery not carried forward,bio-plane/test suites get block()/needs() abort reporting; NOT PRODUCT per brief,"ELEVEN MORE SUITES CAN ABORT A FIXTURE WITHOUT REPORTING WHICH SECTIONS NEVER RAN: four print ""FIXTURE ABORTED"" (d448-review-copy-translation, d543-instant-precision, rec213-reviewcopy-writer, rec217-draft-binding) and seven reach `process."
D-703,integrated,M10,RECORD,unclear,land/worker/D-703,3401cd78,carry,publication,built on land/worker/D-703: judge at extraction; signed statement no longer misattributes writer on edition 2,"A SIGNED CASE DOCUMENT CREDITS THE PUBLISHER WITH AN EDITOR'S SENTENCE: `#statementWriter`'s `here` (`(d.case_id ?? null) === null && Number(edition) === 1`) matches a no-case draft only at edition 1, so when ella writes the exclusion state"
D-695,integrated,M10,RECORD,product,land/worker/D-695,b6ebf625,carry,promotion,built on land/worker/D-695: judge at extraction; op=promote now enforces the records-law refusal at the act,"C-2.10's `law` ARM NEVER RUNS AT THE ACT: REC-201's recordsLawFindings is called only by the audit sweep (checkBundle), so op=promote LANDS a 250-character law (measured) and a law on a kind that is not records_request — the refusal REC-201"
D-700,integrated,M7,RECORD,machinery,land/worker/D-700,50116ded,carry,promotion,"BOB #37 override from legacy-checks: gate C-20.1 walks history in snap-key order, not write order; built on land/worker/D-700: judge at extraction","THE GATE'S C-20.1 AUDIT STILL WALKS A BUNDLE'S `_history/manifest.json` IN SNAP-KEY ORDER, not write order: readImage sorts by key and bio-checks.mjs sorts entries by key, so the gate's ""prior"" can differ from the plane's since D-674 ordere"
